id,nome,idade,sexo,"estado, renda_mensal"
1,Bernardo Campos,18,F,SC,3936.77
2,Sr. Carlos Eduardo Melo,85,M,RN,4472.3
3,Srta. Zoe Casa Grande,45,M,SE,2769.39
4,Arthur Gabriel Castro,60,F,PI,4124.07
5,Leandro Jesus,84,M,AC,1139.32
6,Valentim Cardoso,35,F,RO,3091.52
7,Felipe da Rocha,81,F,AP,9689.46
8,Vitor Monteiro,89,M,RJ,8749.91
9,Breno Borges,47,M,MA,3977.5
10,Laís Teixeira,30,M,SC,9178.19
11,Maya Garcia,76,F,PI,8134.97
12,Maysa Pires,64,M,SE,3788.3
13,Enzo Gabriel Fonseca,90,F,BA,1213.52
14,Joana Sousa,19,F,SC,9792.91
15,Caio Rezende,96,F,AC,4524.61
16,Diego Teixeira,98,M,PR,3466.11
17,Fernando Lopes,62,F,CE,6924.96
18,Thiago da Cruz,92,F,SC,8864.87
19,Noah da Rocha,87,F,TO,8120.49
20,João Peixoto,36,F,PE,2751.11
21,Calebe Cirino,75,M,CE,5508.38
22,Gael Rios,79,F,AL,7080.87
23,Diego Porto,21,M,SP,3810.39
24,Pedro Henrique Sales,85,M,PE,3912.63
25,Raul Lima,39,F,MA,9013.9
26,Milena Brito,63,F,BA,4891.84
27,Davi Luiz das Neves,83,F,PB,1164.34
28,Dr. João Gabriel Alves,81,M,PB,3962.86
29,Emanuella das Neves,35,F,MA,3013.85
30,Esther Carvalho,22,F,AP,3836.01
31,Heloísa Dias,39,M,AL,3864.95
32,Srta. Bella Fogaça,86,F,DF,1075.01
33,Marcela Albuquerque,42,F,RS,5157.36
34,Ravy Mendonça,78,F,PI,9438.49
35,Kamilly Cardoso,59,M,MG,9623.57
36,Luiz Miguel Leão,56,M,BA,5493.15
37,Luigi Siqueira,56,M,SC,3859.54
38,Sophia da Cunha,71,F,MG,7958.46
39,Isabel Silveira,31,M,AL,4094.93
40,Rafael Aparecida,35,M,MA,8539.29
41,Ana Cecília Cirino,63,F,SE,9330.89
42,Larissa Dias,48,F,PE,1474.08
43,Laís Lima,86,F,GO,1232.99
44,Enrico Cassiano,64,M,MT,2548.86
45,Luiz Otávio Sá,41,F,RR,7334.53
46,Gael Henrique Garcia,72,F,MT,9528.21
47,Laura da Costa,84,M,MT,1590.56
48,Calebe Freitas,29,F,ES,1943.45
49,Sofia Peixoto,46,F,GO,8517.35
50,Calebe Castro,69,F,RR,5722.82
51,Olivia da Mota,18,F,AM,5389.85
52,Yan da Luz,97,M,AM,4375.21
53,Benicio Cardoso,48,F,GO,1773.57
54,Lavínia Camargo,63,M,RN,8367.45
55,Carlos Eduardo da Mota,31,F,RS,8612.47
56,Caroline Duarte,43,F,AM,9059.11
57,Aurora Câmara,94,M,PA,1106.76
58,Stella Peixoto,30,F,RO,6567.96
59,Eloah Sousa,96,M,RR,4566.2
60,Marina Costa,100,M,AP,2342.34
61,Leandro Rezende,49,M,PE,9758.22
62,Joaquim Guerra,79,M,DF,8094.53
63,Isabel Rezende,66,M,TO,2467.59
64,Yan Camargo,72,F,RJ,9208.0
65,Clarice Cunha,57,M,RJ,2228.13
66,Ana Vitória Almeida,31,F,TO,7686.27
67,Igor Mendonça,88,F,AC,4166.43
68,Calebe Caldeira,59,F,SE,8066.79
69,Mateus Marques,58,M,PR,3052.41
70,Maysa Barros,38,F,GO,6859.68
71,Alana Novais,66,F,SC,5738.37
72,Ana Sophia Vasconcelos,40,M,PB,2082.59
73,Pedro Miguel Marques,28,M,RS,6687.21
74,Isabella Duarte,58,F,PE,5357.26
75,Joana Siqueira,66,M,MA,7569.62
76,Gustavo Henrique da Luz,85,M,RO,4411.99
77,Dr. Augusto Rodrigues,98,F,PR,4438.51
78,Lunna Farias,45,F,AM,3435.21
79,Diogo da Rosa,78,F,MS,2207.88
80,Luana Cardoso,75,M,ES,5533.31
81,Sr. Lucca Monteiro,97,M,BA,6306.82
82,Gael Henrique das Neves,31,M,PI,4367.21
83,Alícia Pinto,99,F,SP,3777.08
84,Kaique Nascimento,57,F,CE,5625.9
85,Cauê Rios,95,M,PR,2044.94
86,Mariana da Mota,29,M,RS,6671.79
87,Juliana Guerra,64,M,DF,1988.02
88,Dr. Gustavo Henrique Campos,93,M,PE,5325.55
89,Alexia Nogueira,33,M,PI,1096.72
90,Sr. João Miguel Teixeira,100,F,MS,7430.37
91,Emanuel Sampaio,80,F,AM,1118.28
92,Ryan Santos,51,F,PR,4117.88
93,Maria Liz Correia,65,M,TO,2353.05
94,Enzo Dias,52,F,SE,1423.31
95,Ana Sophia Fonseca,42,F,AP,5055.88
96,Maria Isis Campos,63,M,PI,6036.03
97,Maria Cecília Ferreira,76,M,PB,4316.01
98,Luiz Henrique Moraes,56,M,RS,6176.92
99,Elisa da Luz,81,F,BA,5962.47
100,Dr. Théo Pastor,29,M,PB,9510.4
101,Fernanda Cunha,50,M,AL,7177.02
102,Dr. Pedro da Rosa,87,F,PI,2780.06
103,Srta. Maria Eduarda Leão,27,F,MA,8258.53
104,Bryan Siqueira,66,F,SP,4420.72
105,Rodrigo Costa,57,F,RJ,4266.87
106,Joana Costa,50,F,RN,1978.78
107,Melissa Monteiro,46,F,RJ,5130.01
108,Diogo Rocha,52,M,GO,2502.58
109,Augusto Caldeira,67,M,PB,6758.41
110,Eloah Rios,45,M,AC,6356.17
111,Srta. Natália Borges,28,F,SP,1083.78
112,Davi Luiz Aparecida,54,M,AC,2312.01
113,Yasmin Pastor,55,F,TO,7059.57
114,Vitória Ferreira,99,M,PE,5468.37
115,Ana Luiza Macedo,39,F,MT,7372.54
116,Davi Lucca Monteiro,93,M,GO,2268.6
117,Laura Moreira,38,M,MT,1690.05
118,Sophia Nunes,32,F,MA,1106.86
119,Cecília Novais,95,M,SE,4713.89
120,André Rios,36,M,DF,5310.43
121,Vinícius Mendonça,81,M,PR,2132.35
122,Natália Souza,91,M,GO,7070.39
123,Sr. Vinicius Vargas,96,M,MG,9389.98
124,Júlia Sá,52,F,TO,3289.17
125,Hadassa Cassiano,99,F,RN,5759.09
126,Sr. Gabriel Souza,86,F,RJ,2373.36
127,Vinicius da Paz,36,M,RN,8845.04
128,Emanuel Azevedo,31,M,SC,4487.41
129,Anna Liz Lopes,41,F,MA,8482.8
130,Bryan Pereira,37,F,RS,5138.78
131,Ana Machado,48,F,PA,4880.42
132,Gustavo Vasconcelos,23,M,CE,7448.88
133,Diogo Lopes,32,F,PE,7045.02
134,André Porto,72,M,SP,2037.53
135,Theo Cassiano,89,F,SE,9843.61
136,Olivia Lima,83,F,RO,5574.61
137,Dra. Cecilia Farias,73,F,BA,2013.43
138,Lucas Gabriel Freitas,33,M,RJ,5203.67
139,Theodoro Moura,81,M,RN,5715.82
140,Emanuelly Correia,73,F,GO,1497.94
141,Ana Sophia Araújo,91,F,PA,7593.51
142,Vitória Castro,74,M,PB,7573.44
143,Vinicius Lima,61,F,AP,9349.96
144,Marina Cavalcante,89,F,GO,5585.9
145,Alice Vieira,84,F,RR,7481.47
146,Dr. Luiz Fernando Pimenta,19,F,RN,1186.56
147,Amanda Mendes,29,M,PE,6486.94
148,Leandro Souza,31,M,AL,6933.71
149,Ravy Lopes,32,M,PB,7825.93
150,Luana da Rocha,81,M,RJ,7591.93
151,Bento Rezende,76,M,RR,1479.71
152,Juan Vasconcelos,66,F,RR,2228.3
153,Laís Ribeiro,63,M,AP,6722.74
154,Ester Correia,49,M,RO,5284.67
155,Lara Sampaio,82,M,AP,6611.79
156,Sra. Maria Luiza Melo,69,M,PE,6562.5
157,Camila Albuquerque,45,F,RN,8750.64
158,Isabelly Campos,50,M,CE,4640.75
159,Sra. Melina da Rosa,38,F,SE,5642.51
160,Melissa Machado,53,F,DF,6193.79
161,Ravy Albuquerque,58,M,MG,3585.28
162,Breno Silveira,28,M,AC,7652.08
163,Maria Helena Costa,28,M,ES,6113.63
164,Sr. Enzo Gabriel Sousa,51,F,SE,1246.0
165,Maria Julia Nogueira,48,M,SP,7801.0
166,Felipe Vasconcelos,33,M,TO,3636.8
167,Esther Porto,92,M,PR,5113.52
168,Sabrina da Rosa,26,F,PR,7216.6
169,Diogo Barros,83,F,ES,1971.57
170,Dr. Theo Albuquerque,88,F,MG,6572.56
171,Sr. Guilherme Aparecida,92,M,PA,7001.32
172,Ana Luiza Campos,80,M,CE,3195.41
173,Davi Luiz Fonseca,39,F,GO,5542.88
174,Benício Duarte,49,F,PI,1918.8
175,Catarina Almeida,39,F,RS,1184.45
176,Dra. Bianca da Luz,84,F,PR,9254.54
177,Mirella Fogaça,87,F,RR,1823.93
178,Pedro Miguel Cirino,33,F,PA,1820.84
179,Enzo Gonçalves,42,F,SP,3045.11
180,Camila Machado,68,M,GO,7863.4
181,Luiz Felipe Cavalcante,89,M,RO,8992.95
182,Asafe Mendes,26,F,PE,9165.85
